Time_Stamp,Input__NewOrder,Output__MAG1 Completed,Output__MAG2 Completed,Output__ReWork Completed,Emission,Grid
480.0,76.0,44.0,18.0,4.0,2759.01,3357.9
480.0,64.0,42.0,16.0,3.0,2544.23,3075.13
480.0,82.0,41.0,11.0,7.0,2728.52,3178.34
480.0,89.0,45.0,19.0,4.0,2809.33,3472.63
480.0,88.0,44.0,19.0,3.0,2715.57,3390.41
480.0,74.0,44.0,5.0,4.0,2526.29,2656.51
480.0,83.0,43.0,7.0,7.0,2715.01,3074.93
480.0,85.0,45.0,6.0,3.0,2496.6,2802.66
480.0,90.0,42.0,15.0,6.0,2796.22,3307.74
480.0,66.0,48.0,8.0,0.0,2441.92,2626.87
480.0,96.0,43.0,36.0,8.0,3309.07,4717.04
480.0,72.0,33.0,27.0,11.0,2824.4,4093.76
480.0,85.0,34.0,38.0,9.0,2964.3,4548.23
480.0,94.0,39.0,39.0,6.0,3007.16,4478.56
480.0,69.0,29.0,32.0,4.0,2257.19,3600.6
480.0,84.0,2.0,41.0,8.0,1302.22,3180.99
480.0,78.0,2.0,44.0,9.0,1417.21,3420.0
480.0,79.0,5.0,31.0,11.0,1446.99,3079.24
480.0,75.0,2.0,49.0,2.0,1121.46,3007.22
480.0,79.0,1.0,49.0,1.0,1004.49,2869.63
480.0,79.0,10.0,49.0,7.0,1836.93,3990.11
480.0,67.0,8.0,46.0,8.0,1699.98,3730.13
480.0,82.0,7.0,44.0,13.0,1945.46,4089.68
480.0,78.0,4.0,53.0,8.0,1646.68,3892.46
480.0,74.0,3.0,47.0,12.0,1691.62,3914.97
480.0,79.0,44.0,16.0,5.0,2782.69,3420.38
480.0,75.0,43.0,12.0,7.0,2801.84,3305.06
480.0,79.0,44.0,14.0,5.0,2707.12,3301.57
480.0,63.0,44.0,7.0,3.0,2507.01,2684.79
480.0,81.0,46.0,20.0,2.0,2699.9,3474.51
480.0,82.0,9.0,46.0,16.0,2293.67,4501.23
480.0,67.0,16.0,43.0,5.0,1856.6,3612.89
480.0,72.0,19.0,31.0,11.0,2182.09,3739.33
480.0,72.0,19.0,49.0,3.0,1962.44,3891.08
480.0,76.0,19.0,46.0,5.0,2030.12,3939.09
480.0,80.0,2.0,41.0,5.0,1131.13,3071.66
480.0,74.0,3.0,43.0,3.0,1100.29,3008.93
480.0,83.0,2.0,40.0,9.0,1373.59,3318.35
480.0,79.0,2.0,45.0,9.0,1450.29,3580.16
480.0,71.0,1.0,43.0,6.0,1175.6,3176.22
480.0,80.0,38.0,30.0,8.0,2922.18,4226.65
480.0,63.0,28.0,26.0,4.0,2113.81,3247.76
480.0,84.0,33.0,34.0,14.0,3206.42,4742.5
480.0,82.0,34.0,37.0,4.0,2581.36,4050.56
480.0,65.0,28.0,27.0,6.0,2199.02,3476.78
480.0,76.0,44.0,3.0,4.0,2543.58,2530.78
480.0,73.0,44.0,3.0,3.0,2409.43,2423.06
480.0,86.0,43.0,2.0,3.0,2392.88,2362.73
480.0,80.0,47.0,2.0,2.0,2455.9,2374.18
480.0,76.0,42.0,1.0,5.0,2497.6,2396.23
480.0,86.0,36.0,27.0,11.0,3137.09,4250.42
480.0,72.0,36.0,17.0,9.0,2756.64,3477.56
480.0,78.0,43.0,13.0,6.0,2730.01,3298.74
480.0,88.0,36.0,32.0,6.0,2706.92,4006.18
480.0,67.0,32.0,21.0,9.0,2575.27,3678.01
480.0,72.0,19.0,41.0,8.0,2298.82,4010.85
480.0,66.0,22.0,36.0,6.0,2069.5,3628.95
480.0,87.0,36.0,33.0,13.0,3134.41,4658.92
480.0,85.0,34.0,37.0,7.0,2863.17,4349.82
480.0,73.0,23.0,37.0,11.0,2523.13,4192.95
480.0,78.0,43.0,17.0,7.0,2842.12,3587.11
480.0,75.0,41.0,13.0,8.0,2782.21,3384.67
480.0,73.0,42.0,14.0,9.0,2887.85,3525.57
480.0,81.0,44.0,20.0,6.0,2975.08,3722.42
480.0,75.0,42.0,20.0,7.0,2893.01,3685.53
480.0,92.0,29.0,50.0,5.0,2620.83,4568.65
480.0,77.0,18.0,46.0,7.0,2134.01,4132.37
480.0,83.0,25.0,42.0,11.0,2593.61,4513.41
480.0,77.0,22.0,44.0,4.0,2102.89,3914.29
480.0,71.0,18.0,46.0,6.0,2042.87,4018.46
480.0,69.0,33.0,26.0,7.0,2542.27,3665.67
480.0,71.0,31.0,31.0,4.0,2353.41,3571.48
480.0,78.0,37.0,27.0,10.0,2992.85,4103.58
480.0,90.0,34.0,36.0,10.0,2932.55,4512.96
480.0,76.0,38.0,28.0,6.0,2761.68,3916.91
480.0,76.0,3.0,52.0,9.0,1609.31,3919.39
480.0,64.0,2.0,50.0,9.0,1573.65,3785.72
480.0,80.0,4.0,50.0,9.0,1646.95,3928.41
480.0,75.0,2.0,55.0,8.0,1582.49,3914.29
480.0,80.0,6.0,56.0,4.0,1538.33,3826.72
480.0,87.0,8.0,42.0,9.0,1765.0,3626.03
480.0,73.0,6.0,51.0,8.0,1674.75,3777.0
480.0,78.0,6.0,43.0,12.0,1758.05,3719.38
480.0,80.0,7.0,48.0,7.0,1607.2,3566.28
480.0,76.0,6.0,49.0,6.0,1526.05,3545.1
480.0,78.0,2.0,48.0,7.0,1417.71,3555.79
480.0,86.0,4.0,48.0,9.0,1582.73,3805.49
480.0,85.0,2.0,44.0,14.0,1828.7,3988.98
480.0,81.0,1.0,57.0,5.0,1366.76,3687.53
480.0,74.0,1.0,53.0,5.0,1306.77,3539.71
480.0,86.0,37.0,21.0,9.0,2767.77,3717.41
480.0,67.0,25.0,25.0,4.0,1966.06,2984.27
480.0,77.0,27.0,23.0,8.0,2197.8,3308.61
480.0,79.0,35.0,28.0,4.0,2483.39,3487.97
480.0,63.0,24.0,27.0,6.0,2016.86,3231.29
480.0,68.0,31.0,20.0,5.0,2223.94,3096.07
480.0,78.0,32.0,26.0,5.0,2392.78,3450.07
480.0,76.0,32.0,18.0,5.0,2160.98,3011.31
480.0,80.0,37.0,22.0,5.0,2525.26,3468.09
480.0,70.0,28.0,22.0,7.0,2263.03,3308.25
480.0,78.0,43.0,17.0,6.0,2823.52,3539.39
480.0,78.0,43.0,18.0,4.0,2680.64,3420.41
480.0,75.0,43.0,16.0,7.0,2832.92,3502.58
480.0,72.0,44.0,17.0,4.0,2705.7,3317.41
480.0,76.0,41.0,18.0,8.0,2905.83,3680.23
480.0,69.0,46.0,3.0,3.0,2524.98,2592.44
480.0,71.0,41.0,8.0,7.0,2693.04,2960.46
480.0,80.0,43.0,6.0,5.0,2544.19,2831.66
480.0,75.0,46.0,5.0,5.0,2666.18,2849.45
480.0,77.0,46.0,4.0,3.0,2510.63,2645.4
480.0,84.0,40.0,25.0,8.0,2995.1,4043.01
480.0,72.0,36.0,17.0,9.0,2756.64,3477.55
480.0,85.0,39.0,22.0,6.0,2716.56,3635.95
480.0,77.0,37.0,27.0,3.0,2444.95,3562.44
480.0,73.0,35.0,29.0,5.0,2548.72,3783.43
480.0,71.0,15.0,42.0,6.0,1920.97,3697.61
480.0,73.0,18.0,45.0,6.0,2026.21,3940.81
480.0,89.0,20.0,45.0,8.0,2241.8,4212.02
480.0,72.0,21.0,38.0,7.0,2150.05,3767.29
480.0,70.0,16.0,43.0,7.0,1990.81,3843.98
480.0,62.0,35.0,16.0,1.0,2050.83,2639.5
480.0,72.0,26.0,19.0,8.0,2216.79,3032.0
480.0,73.0,31.0,14.0,6.0,2202.51,2894.4
480.0,74.0,27.0,20.0,7.0,2232.58,3122.75
480.0,63.0,28.0,21.0,7.0,2193.23,3204.77
480.0,87.0,45.0,6.0,3.0,2553.23,2662.08
480.0,68.0,44.0,8.0,1.0,2322.16,2550.77
480.0,85.0,39.0,4.0,6.0,2430.2,2571.87
480.0,77.0,46.0,5.0,4.0,2653.89,2781.1
480.0,74.0,47.0,6.0,2.0,2491.48,2644.7
480.0,80.0,6.0,46.0,11.0,1816.5,3995.73
480.0,76.0,9.0,49.0,8.0,1791.42,3978.53
480.0,85.0,7.0,48.0,11.0,1900.44,4062.39
480.0,71.0,4.0,55.0,5.0,1509.94,3734.85
