Time_Stamp,Robot1__Grid,MAG1__Emission,MAG1__Grid,ReMAG__Emission,ReMAG__Grid,MAG2__Emission,MAG2__Grid,Robot2__Grid,Robot2_ready__Grid,MAG1_ready__Grid,Robot1_ready__Grid,MAG2_ready__Grid,ReMAG_ready__Grid,Robot1_Idle_to_ShutDown__Grid,Robot1_Restart_to_Idle__Grid,Robot2_Idle_to_ShutDown__Grid,Robot2_Restart_to_Idle__Grid,MAG1_Idle_to_ShutDown__Grid,MAG1_Restart_to_Idle__Grid,MAG2_Idle_to_ShutDown__Grid,MAG2_Restart_to_Idle__Grid,ReMAG_Idle_to_ShutDown__Grid,ReMAG_Restart_to_Idle__Grid
480.0,160.2,1969.86,1575.89,121.29,110.9,557.96,1511.13,161.85,2.96,0.52,0.79,29.63,0.0,3.08,1.6,10.28,7.5,9.42,24.0,36.01,41.69,18.82,9.6
480.0,163.93,2048.32,1638.66,238.96,218.47,485.95,1316.11,136.75,3.52,0.07,0.74,10.41,0.0,2.35,1.2,13.37,9.0,7.85,19.72,51.44,58.5,32.93,19.2
480.0,83.57,1843.32,1474.66,374.75,342.63,677.26,1834.25,274.15,5.79,3.34,0.1,14.89,0.0,1.84,4.0,6.64,3.75,14.03,24.0,38.16,39.0,6.52,16.0
480.0,41.62,1284.91,1027.93,281.72,257.57,637.11,1725.51,253.36,4.63,9.19,0.0,33.64,0.0,1.84,4.0,9.29,5.25,25.73,40.0,38.16,39.0,6.52,12.8
480.0,53.5,1870.81,1496.64,443.12,405.14,745.96,2020.31,334.65,0.0,2.22,0.0,30.77,0.22,1.5,3.2,1.33,0.75,14.03,24.0,25.44,26.0,13.04,28.8
480.0,41.81,1682.18,1345.75,243.05,222.22,763.73,2068.43,335.64,1.95,6.49,0.0,32.33,0.66,1.34,2.8,2.65,1.5,11.7,20.0,25.44,26.0,7.83,16.0
480.0,34.16,1572.09,1257.67,240.0,219.43,735.15,1991.03,318.12,5.23,8.4,0.0,69.97,0.0,1.67,3.6,3.45,1.5,18.28,28.0,6.36,6.5,7.83,16.0
480.0,70.55,537.15,429.72,568.96,520.19,1103.98,2989.94,302.59,5.64,0.0,1.64,0.16,33.89,5.18,3.2,3.99,1.5,17.97,36.0,3.55,13.0,96.53,22.4
480.0,60.22,476.49,381.19,300.44,274.69,1077.79,2919.0,263.21,10.25,1.08,0.84,0.34,18.39,6.47,3.6,6.88,2.25,17.97,32.0,1.77,6.5,68.95,16.0
480.0,90.55,706.96,565.57,525.12,480.11,1006.23,2725.2,232.66,6.44,2.06,0.31,2.89,19.01,6.47,4.0,9.27,3.0,23.12,44.0,5.42,19.5,96.53,19.2
480.0,60.75,528.29,422.64,119.67,109.41,1020.96,2765.1,273.57,8.88,3.38,2.02,1.29,0.65,6.47,3.6,5.99,2.25,13.98,24.0,8.87,32.5,41.37,6.4
480.0,72.48,430.16,344.13,237.5,217.14,1090.04,2952.2,334.27,5.15,2.4,2.3,1.42,0.0,5.18,2.8,0.27,0.0,13.47,24.0,3.55,13.0,82.74,16.0
480.0,45.92,1574.47,1259.57,198.39,181.38,646.01,1749.62,287.71,5.21,2.47,0.37,18.5,12.22,3.58,2.8,6.07,3.75,10.81,32.0,38.61,45.5,41.6,9.6
