generation,individual,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,f_energy,f_emission,f_outputs_cost
1,42,3.1068869923759657,9.847299355385804,11.482252221709729,6.934541419269933,11.828686743141027,0.6781830711841227,0.8146247069793021,58.4,0.7606723788602535,3019.176993108243,2607.0188895478495,0.7662001793687138,0.9690703703697247,-0.824858757062147
1,43,4.843365426299027,12.902223073457302,1.1619223180252392,1.2961323273506764,1.1070870216194906,0.1163738584413303,0.7817559409906394,64.0,0.811020638314751,3294.882299459775,2711.33169425905,0.83616807315621,1.0078450983554201,-0.903954802259887
1,44,7.417396942309744,9.856408958836191,9.017994382322899,4.141422824167973,0.915532534591752,0.18183076987364433,0.8582904401083417,56.6,0.7173484340599862,2893.7436263107775,2595.208016870004,0.7343679719961682,0.9646800812137092,-0.7994350282485876
1,45,6.772616919001242,8.41072874881419,5.288025397403735,14.824225218803832,14.047315836967007,0.3838303131035298,0.5063840414302688,77.6,0.9361896588731081,4287.63753697973,2872.4227736913504,1.0881073409743351,1.0677252137756015,-1.0960451977401129
1,46,7.9162553491925625,11.466513362939775,11.871811927487725,11.548967383897375,18.031608796548255,0.9502474236931665,0.05139881989008033,51.4,0.6518888116103305,3111.4165524079226,1258.4734311418513,0.7896085343746078,0.4677945828879688,-0.7259887005649718
1,47,16.227377285423163,12.24879411483643,6.052668174346256,15.706636358928375,0.7812475277220154,0.18754468317091455,0.7891213552704708,62.4,0.8287137722411984,3237.263161477901,2699.7137507621383,0.8215456134734697,1.0035265240433484,-0.8813559322033898
1,48,0.9180509949722415,2.6429720635834952,10.032329848154964,14.20243288426029,11.785162777457035,0.036941998815416155,0.27480093455538357,67.4,0.9150927008091763,3936.7255343902675,2064.982598335337,0.9990536551717416,0.7675868630637065,-0.9519774011299437
1,49,14.124145815716258,6.967829230889578,3.8843653077802376,0.04551020668986716,5.254198315993257,0.930775743504317,0.04954138894481064,50.8,0.657941221018762,3231.0639334414927,1246.179605707613,0.8199723868477085,0.463224772513912,-0.7175141242937852
1,50,11.062902066137275,18.193525061899976,14.012058791889704,5.619491898275286,12.9716667878924,0.11939558512132153,0.49889467777427354,70.2,0.9376032639447274,3948.8491319435334,2604.5593441943993,1.0021303554251915,0.9681561182574115,-0.9915254237288137
1,51,5.264341386221623,17.513467216521974,17.319429779314778,15.236580137997603,7.511252356269855,0.7969369836766395,0.9798656581661846,49.6,0.6366405241360809,2417.394900957848,2459.8772293992797,0.613481227151267,0.9143754758798266,-0.7005649717514125
1,52,2.272283230139047,13.38055314159956,15.069088925138928,18.818047209967546,7.79807033102127,0.3894868303148111,0.3996467183591207,72.6,0.949383989664631,4168.297300771694,2577.8066493079605,1.0578214350479105,0.9582117162256771,-1.0254237288135593
1,53,18.73613407797993,19.606691492759413,1.3630821905537105,8.038162871764762,17.448775226511415,0.5047832939867178,0.34949577829706324,74.6,0.9339773677064052,4229.43948441858,2298.841107872265,1.0733379656071242,0.8545157891868186,-1.0536723163841808
1,54,5.055638930409813,16.100761431404575,7.307867331423532,3.62569846424877,12.584907544904427,0.2620260933143759,0.06639230254323447,63.8,0.8548793859649123,3874.905438260066,1590.1477484634893,0.9833650854550031,0.5910831999431181,-0.9011299435028248
1,55,19.982037856330358,3.685143086942364,2.6261463198658475,9.611301488892641,0.07917933023175117,0.7893311796619056,0.07518277030715492,61.6,0.785650947888598,3646.758066386664,1666.2105028547935,0.925466340978967,0.6193569350759336,-0.8700564971751413
1,56,12.875450345018695,1.3009895285623507,0.21343554599906556,16.887985464105387,6.1360671632276205,0.7471572897888868,0.5298127745067456,60.6,0.818229968105407,3345.911104286302,2286.377569933568,0.8491180524056227,0.8498828939765866,-0.8559322033898306
1,57,15.682349362868035,12.795580186921075,19.45529128365557,9.495378471263168,17.063971112843642,0.821817588561834,0.5867108232850349,59.0,0.7938383288538088,3266.758555458992,2313.1968924565185,0.8290308904911633,0.8598520625601286,-0.8333333333333334
1,58,5.0,5.0,5.0,5.0,5.0,0.5106082036775106,0.4913294797687861,70.8,0.9421128466976857,3940.454563187127,2690.2266019682415,1.0,1.0,-1.0
1,59,15.647274065270748,17.286572053737935,2.918555482702627,10.343364145037278,2.9443133749447092,0.18020589562006806,0.5306510482677854,71.6,0.9342148925157272,3954.119998765988,2716.5527999763026,1.0034679845585652,1.0097858663611459,-1.0112994350282485
1,60,8.873956483974528,17.45530125265948,11.298356900669502,19.29631099173653,0.02296827487794806,0.3403664660517659,0.769050154191463,61.2,0.7902322254050951,3214.7904917809897,2686.0478744127545,0.8158425481705837,0.9984467005298253,-0.864406779661017
1,61,10.404813897861576,7.670407866605458,10.197739311375532,16.58585267656485,14.934869212355652,0.06411929840943142,0.21253018222773,68.2,0.8877154376173204,4103.529233607578,2084.140159284482,1.0413847356454613,0.7747080330555312,-0.9632768361581922
1,62,1.7359240575922374,15.865970608104638,0.395315672157841,1.126865168684681,18.91042131437862,0.7821501817077774,0.3704349132357774,61.0,0.8101243815434355,3591.324002993965,2016.096973920429,0.9113984047792757,0.7494152992336774,-0.8615819209039548
1,63,7.388850070083361,10.503900790172674,3.2487407165753157,2.1665968428261673,14.402818874676067,0.06027915920392968,0.6013530937098678,66.8,0.8565460494998849,3742.1817340542925,2781.1859759427357,0.9496827520902901,1.033811045473993,-0.943502824858757
1,64,19.469205495328254,5.968024460337514,6.279720040686736,17.834221408903144,11.703258797818162,0.47130966518183137,0.7732770096488164,64.4,0.8232287230103588,3469.9655640182855,2796.657431556099,0.8806003237382086,1.0395620315069332,-0.9096045197740115
1,65,8.314038478384447,16.946079404634173,4.735338453406621,13.38275146264348,8.10615684247865,0.2651551901680297,0.703889108027187,65.4,0.8951842152386069,3525.526479704491,2793.6712242275853,0.8947004522374107,1.0384520107650639,-0.9237288135593221
1,66,9.023556533586323,12.772371532159784,13.378377791456742,7.062455895238811,13.041471474708985,0.5774224607133307,0.6973859535679194,66.6,0.8750905320542636,3557.551598904106,2753.6280298557754,0.9028277174262553,1.0235673187682954,-0.9406779661016949
1,67,16.4115224478881,4.19408619215891,17.558716628117615,9.279030307939841,16.157336238027757,0.8020806151389231,0.9107502280448823,52.0,0.6714594551341746,2590.158955880589,2483.645292159415,0.657324913749446,0.9232104426973973,-0.7344632768361582
1,68,5.4460028464055625,11.749693157441909,4.102959720118557,10.692146347331171,18.086685020790345,0.5061824192446746,0.8270888009986372,60.0,0.8158844139974759,3190.423417109335,2684.291929780915,0.8096587248880367,0.9977939879923183,-0.8474576271186441
1,69,0.7908856383750651,19.320811697257327,10.33479160743308,18.575012069679502,17.941832721422085,0.7339908834066976,0.029652039890502024,60.0,0.7442057968733755,3715.5002022538492,1500.534955893067,0.9429115709048222,0.5577727001863841,-0.8474576271186441
1,70,3.8475038979338327,17.34357674637996,15.752907534789095,13.370393613213846,10.60768024958991,0.5252679910055196,0.977938662978642,49.2,0.6151434984768318,2478.801999457115,2451.746529302561,0.6290649872262973,0.9113531653834654,-0.6949152542372882
