pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,n_replications,mean_inputs,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,sd_outputs,sd_energy,sd_emission,ci95_outputs_low,ci95_outputs_high,ci95_energy_low,ci95_energy_high,ci95_emission_low,ci95_emission_high,nondominated_after_reevaluation
25,2.777037871333033,7.374698754275373,3.861893670130489,10.298606323394425,0.19889496768189474,0.4134844113725895,0.49693104389606063,100,76.25,71.54,0.9387582393057247,3939.064593224585,2641.08169102523,6.709589097596504,343.5122696182832,281.6042405192515,70.20867195748913,72.87132804251088,3870.9043063818035,4007.224880067367,2585.2053002597277,2696.9580817907326,True
26,6.885240750958621,17.253962256476612,10.542984008460355,19.36520764694197,11.97502256669619,0.9214226739403363,0.8904832699030467,100,76.43,51.53,0.6789829710196195,2549.670001451901,2442.6841238839634,2.3374638764561424,164.34152510892753,106.31795599649726,51.06619645527965,51.99380354472035,2517.0610774561087,2582.2789254476934,2421.588334830163,2463.7799129377636,True
27,7.867203861967462,14.880853344926365,3.4068206465338173,10.804862081731313,3.242581905790511,0.8713522112935947,0.4302155503992776,100,76.07,56.76,0.751151803252798,3228.446515936532,1989.7308412683863,3.5021494121539853,220.52313903798304,188.27339950975463,56.06509757696879,57.45490242303121,3184.6899408686245,3272.203091004439,1952.373314185844,2027.0883683509285,True
28,7.281040499508098,12.194818232043863,11.871811927487725,19.33479462449665,17.383676579592645,0.9365075968976415,0.05139881989008033,100,75.78,52.24,0.694997793718109,3195.9851504398184,1311.7400586813685,2.3186551309243075,167.8482689158224,121.70885367018343,51.77992851845174,52.700071481548264,3162.680412393402,3229.2898884862348,1287.5903816212617,1335.8897357414753,True
29,4.472471145741045,2.557932327104171,2.1614605691800337,10.390845786566336,0.19889496768189474,0.9567744943001418,0.4974688895866504,100,75.46,51.16,0.6831442756778452,2859.6781057499843,1902.643520928549,2.303795726073548,144.73912193611415,135.30512766615777,50.70287694675116,51.61712305324883,2830.9587238207723,2888.3974876791963,1875.7960481344253,1929.4909937226726,True
30,4.90572765574562,9.637037146263687,14.98568304949525,14.487972746800562,3.4930903809179608,0.8429197990507479,0.516777817113359,100,76.11,58.37,0.7724846314800717,3244.9693579627533,2183.449855719041,3.6972689893755333,220.46030655121953,200.52456254137016,57.636381619699364,59.10361838030063,3201.22525022338,3288.7134657021265,2143.6614321001957,2223.238279337886,True
31,7.715875198301052,12.210223023221763,16.904174302304064,3.643605744472819,1.394927355892582,0.7847552654815673,0.14188982817173287,100,75.2,60.92,0.8156396322216897,3620.5974992254255,1680.7475038532618,3.492213560989012,213.9125924814736,160.58845610926357,60.22706906539971,61.61293093460029,3578.152600011135,3663.042398439716,1648.883270170401,1712.6117375361227,True
32,4.993374831409365,11.586238377527446,1.1502734703048232,11.122113673506739,9.679875666500745,0.38907841384086084,0.4313344185950079,100,75.89,71.58,0.9439719988659705,4049.5570579235973,2520.740926497111,7.174843819790354,395.19029296153434,294.8497776879332,70.15635532683447,73.00364467316552,3971.1427300870014,4127.971385760193,2462.236333793415,2579.2455192008074,True
34,2.860364143369887,7.1558393816780725,0.810865000483241,16.22083112455238,0.17734339899480478,0.3585304041497751,0.5244760834242599,100,76.68,71.76,0.9361847836293465,3929.548989307827,2722.776089158245,6.724176191515616,339.16493794920297,275.213191448008,70.42577756158637,73.09422243841364,3862.251307384207,3996.846671231447,2668.167821183251,2777.3843571332395,True
35,10.14331374960072,10.264568853266123,11.475676885925214,10.808587237413146,17.690741080074954,0.4971481944891405,0.009691560088445447,100,75.73,60.18,0.8012826855470009,3752.05843467497,1446.433355028377,2.1385353243127256,171.36063883124717,123.80648077076594,59.755668195809854,60.604331804190146,3718.0567662359385,3786.060103114002,1421.8674632431782,1470.9992468135758,True
36,7.317303990102632,12.444869218472437,5.301501833723923,10.846123776131398,14.40049798540062,0.9990681094659368,0.8097791274156286,100,75.83,47.71,0.6339887842026422,2455.2425191528337,2169.1144544194,1.1127815725841386,127.60405718069792,101.95127386657886,47.489199994035204,47.9308000059648,2429.923105818911,2480.561932486756,2148.885109836003,2189.343799002797,True
38,3.145782161436925,9.80849626863269,0.6984208667457699,14.616663890014049,0.19889496768189474,0.37108303479781557,0.5012736815472516,100,75.4,70.55,0.9362424943515028,3888.325268827271,2605.696848683346,7.473015428591031,398.7642871334114,308.13784701208704,69.06719161077038,72.03280838922961,3809.201783008632,3967.44875464591,2544.555614739069,2666.8380826276234,True
39,0.7936259631836617,12.526927790306313,10.910169757028466,10.82359109826671,10.314621944333647,0.5067714420333083,0.7230916753636772,100,75.2,65.28,0.8734845226375129,3459.253761620766,2744.967154347968,4.8743401521838745,297.7896043739022,201.7375127609265,64.31282516426174,66.24717483573826,3400.16584352259,3518.341679718942,2704.938055090425,2784.996253605511,True
40,6.296061475615644,10.449603477085835,6.3349190613042285,3.6071997932355804,3.9749886800420082,0.7952348253366668,0.906150621594485,100,76.6,53.38,0.7021971023229492,2618.0110475746937,2528.110441764561,2.7662467735401357,178.30535687727465,105.54261398200563,52.83111662598855,53.928883374011455,2582.6313964086244,2653.390698740763,2507.1684973875977,2549.0523861415245,True
41,6.149756665589153,11.88086572865228,3.7326355083500826,17.757556401671163,4.779397757440539,0.8533404148650516,0.5063355571824607,100,75.78,57.25,0.7603308227143427,3187.827736138295,2116.488815459633,3.9115860019313202,214.7240905719514,196.25386020248496,56.47385647476838,58.02614352523162,3145.22181809728,3230.4336541793105,2077.5477918383544,2155.4298390809113,True
42,5.82225620494285,10.341732557234662,5.759805418195928,18.595838571883423,2.781833761724065,0.536678881171181,0.10240518601239063,100,77.17,65.55,0.8544997963113654,3904.806649577197,1756.273345419839,4.432148394846386,263.30506174177157,206.190381618827,64.67056560233438,66.42943439766562,3852.5612128845905,3957.052086269803,1715.3607003752268,1797.1859904644512,True
43,10.206171788167453,9.463145726351204,11.475676885925214,10.808587237413146,1.2464500427708316,0.9743693239310277,0.009330788240045323,100,76.24,49.65,0.6568436159867698,2982.2568850207026,1186.0726990576686,1.6719612870681382,124.93411209453224,98.23088292569714,49.31824660719331,49.98175339280669,2957.467246716737,3007.046523324668,1166.5815607513853,1205.563837363952,True
44,0.8347419415894759,17.31349813713638,1.6989069251269038,7.774831166849228,0.36952029393863395,0.37121517149997096,0.7342234730279403,100,74.67,64.65,0.8704314583622199,3395.523637190582,2739.248479810558,5.2153135044304815,305.84387431475545,195.19192330812263,63.61516865370769,65.68483134629231,3334.8375771975393,3456.209697183625,2700.518167508002,2777.9787921131137,True
45,0.8347419415894759,7.139336071701244,1.6989069251269038,7.774831166849228,0.36952029393863395,0.37121517149997096,0.1507083060871054,100,75.73,67.33,0.8916364493080221,3972.7606910343297,1880.9158762985546,4.5926049473060715,264.007325988154,199.15935622765736,66.41872754119726,68.24127245880274,3920.375909879512,4025.1454721891473,1841.3983392307073,1920.433413366402,True
46,6.337062793447017,12.502404132068733,5.071186239261355,16.351985052899717,13.998078639425257,0.8006472874380728,0.027332684010554276,100,75.42,59.1,0.7888781975903264,3591.062615521464,1454.3884260918123,2.6874192494328497,178.67468182781252,128.41284267317292,58.56675771694646,59.63324228305354,3555.6096822726477,3626.5155487702805,1428.9085321694597,1479.868320014165,True
47,19.27819190973088,16.826207435058656,2.7148673260521354,11.122113673506739,12.705285197620396,0.9797827191126018,0.9526222497728006,100,76.47,48.41,0.6385137771027719,2311.416670275833,2391.1148744766206,1.4220130843706087,116.9715432826916,104.10596066399809,48.12784175327246,48.69215824672753,2288.206978373268,2334.626362178398,2370.4579932863603,2411.771755666881,True
48,6.624996607363861,7.302182658083059,0.3794209979744129,9.89933666192753,0.19889496768189474,0.3711809509065169,0.5012736815472516,100,75.53,70.63,0.9356878873338431,3901.2458481724093,2614.6156434545974,5.938497922518588,318.22779816065247,279.38740187288704,69.45167317556395,71.80832682443604,3838.102549017244,3964.3891473275744,2559.1791215711823,2670.0521653380124,True
50,6.3550489095302645,19.144374288901908,1.1976664264457293,16.374413976027103,13.865065697175293,0.7360559168987983,0.5398374330745699,100,75.7,64.28,0.8528606997367991,3582.3516351550993,2458.7469896492485,4.870193823533913,269.5661526520976,221.9913637975057,63.31364788582111,65.24635211417889,3528.8638621905725,3635.839408119626,2414.699086935694,2502.794892362803,True
51,5.820619821486974,10.539460989031747,1.3137525923585314,11.512648133779233,12.705285197620396,0.5443022918059205,0.10182909890171066,100,75.36,65.0,0.8667340098948138,3922.36367062954,1737.6020465701595,3.789938833759242,244.70656640700525,193.54285814216328,64.24799391208738,65.75200608791262,3873.8085789085135,3970.918762350567,1699.1989445732474,1776.0051485670715,True
52,6.106836172793367,18.935177126253446,2.5524858197747284,10.612209438685365,12.739281466599142,0.5337039270854638,0.41768324763554376,100,76.11,71.17,0.935398913226682,4049.744090158191,2486.267056637,6.361270122841631,343.37589516514856,251.10527974710507,69.9077859989132,72.4322140010868,3981.610862965575,4117.877317350806,2436.4423213682467,2536.091791905754,True
53,0.7642079423922632,8.476898697848814,3.844286312219255,16.198899987385502,0.8267164542530043,0.8557253461504835,0.42567330131930753,100,75.88,57.42,0.7625865426088585,3229.944439394412,1989.3896688028167,3.2942557903297693,186.06059938590226,177.32729723931226,56.7663481818222,58.0736518181778,3193.0259798634743,3266.8628989253493,1954.2040858880705,2024.5752517175629,True
54,6.520763149990415,7.3392178530948815,0.3898842818232864,16.25882583190138,0.8120429512777076,0.9814867136192366,0.42559367716808716,100,76.04,49.13,0.6524913764398818,2760.9479805237947,1710.9292097882194,1.5152757524822358,117.83578812831277,135.9370328695926,48.82933641657147,49.43066358342853,2737.5668036939364,2784.329157353653,1683.9563532924556,1737.9020662839832,True
55,15.11582378342458,12.059391522449705,11.631980946578352,19.33479462449665,17.520796005169327,0.9329044903570007,0.05139881989008033,100,76.17,52.57,0.6963100706384896,3221.010854133149,1325.2968344171636,2.7275437575765764,183.51869431866226,124.7028437298438,52.02879614402349,53.11120385597651,3184.5967637145664,3257.424944551732,1300.5530847741543,1350.040584060173,True
56,6.296061475615644,10.423983970659172,6.278087837396255,3.6986416189902336,4.001423553799306,0.7952348253366668,0.8861497621928562,100,76.31,54.11,0.7140074501573879,2667.689006927443,2541.0150659542815,2.5971818448760065,170.22860546097354,111.63707017528748,53.59466277572464,54.625337224275356,2633.9119584687087,2701.4660553861777,2518.8638492484247,2563.166282660138,True
57,10.845296266942356,9.556370136461505,1.7988442242004146,10.112092867692741,1.2464500427708316,0.7769652407015009,0.009330788240045323,100,75.63,58.79,0.782000053987357,3538.1639563695485,1413.8860728527445,2.671567466352427,180.94956855442047,120.96110128899295,58.25990305461644,59.32009694538356,3502.2596362401623,3574.0682764989347,1389.8847660876665,1437.8873796178225,True
58,3.1515482965398793,7.302146048800116,0.6984208667457699,9.916307385182353,0.19889496768189474,0.37108303479781557,0.5012736815472516,100,75.87,71.15,0.9384778654225155,3915.752691718603,2631.603311016764,7.357226914999147,388.4985214397039,308.8793027461662,69.69016656391628,72.60983343608373,3838.666156530931,3992.8392269062747,2570.3149561688515,2692.8916658646767,True
59,4.937667914614909,4.396616181065992,4.199975835131163,0.24131400333081565,0.31867143954182886,0.8075217054181806,0.4660059876192896,100,76.52,60.61,0.7970735953710766,3392.6664850944403,2155.956184142606,4.211324319647267,254.5782248461055,202.6094916382866,59.77438188966551,61.445618110334486,3342.1526421719773,3443.1803280169033,2115.754065358082,2196.1583029271305,True
60,2.5364607144457922,7.374698754275373,3.861893670130489,8.084487692102527,0.4030844780119883,0.4134844113725895,0.4868731190303977,100,76.64,71.89,0.9392071003554006,3976.383418918884,2651.0980623364553,6.49458982305249,360.2059118120008,303.91214427185434,70.60133247800034,73.17866752199966,3904.910751293783,4047.8560865439854,2590.795299493099,2711.400825179812,True
