pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,f_energy,f_emission,f_outputs_cost
28,7.281040499508098,12.194818232043863,11.871811927487725,19.33479462449665,17.383676579592645,0.9365075968976415,0.05139881989008033,0.7778586526219404,0.464217170239382,-0.7231638418079097
29,4.472471145741045,2.557932327104171,2.1614605691800337,10.390845786566336,0.19889496768189474,0.9567744943001418,0.4974688895866504,0.709651709371799,0.6587437970603359,-0.7062146892655368
30,4.90572765574562,9.637037146263687,14.98568304949525,14.487972746800562,3.4930903809179608,0.8429197990507479,0.516777817113359,0.7955511761342341,0.8070156245875837,-0.8163841807909604
31,7.715875198301052,12.210223023221763,16.904174302304064,3.643605744472819,1.394927355892582,0.7847552654815673,0.14188982817173287,0.9204692158462446,0.6346642439584627,-0.8757062146892656
32,4.993374831409365,11.586238377527446,1.1502734703048232,11.122113673506739,9.679875666500745,0.38907841384086084,0.4313344185950079,1.1251883640753118,0.9983141409778622,-1.1073446327683618
33,2.777037871333033,7.374698754275373,5.644019567695386,9.901784014555947,0.19889496768189474,0.4134844113725895,0.49693104389606063,1.0943015199971264,1.0599143870123395,-1.1016949152542372
34,2.860364143369887,7.1558393816780725,0.810865000483241,16.22083112455238,0.17734339899480478,0.3585304041497751,0.5244760834242599,1.054171042692038,1.0898776225220137,-1.076271186440678
35,10.14331374960072,10.264568853266123,11.475676885925214,10.808587237413146,17.690741080074954,0.4971481944891405,0.009691560088445447,0.936803968335242,0.510627435170224,-0.8559322033898306
36,7.317303990102632,12.444869218472437,5.301501833723923,10.846123776131398,14.40049798540062,0.9990681094659368,0.8097791274156286,0.616272946199877,0.7738828266798985,-0.6666666666666667
37,6.106836172793367,18.99730908523648,2.330820698062814,15.3268757757524,12.739281466599142,0.5328725973581746,0.58514849983122,0.9894151071730876,1.0661703404914917,-1.0310734463276836
38,3.145782161436925,9.80849626863269,0.6984208667457699,14.616663890014049,0.19889496768189474,0.37108303479781557,0.5012736815472516,1.038314110050992,1.0490114563129178,-1.0593220338983051
39,0.7936259631836617,12.526927790306313,10.910169757028466,10.82359109826671,10.314621944333647,0.5067714420333083,0.7230916753636772,0.8908847917537192,1.0191638987991158,-0.9322033898305085
40,6.296061475615644,10.449603477085835,6.3349190613042285,3.6071997932355804,3.9749886800420082,0.7952348253366668,0.906150621594485,0.6712203371201609,0.9371638746472166,-0.7598870056497175
41,6.149756665589153,11.88086572865228,3.7326355083500826,17.757556401671163,4.779397757440539,0.8533404148650516,0.5063355571824607,0.8046139013696072,0.7655852698536627,-0.8022598870056498
42,5.82225620494285,10.341732557234662,5.759805418195928,18.595838571883423,2.781833761724065,0.536678881171181,0.10240518601239063,0.9966923499925088,0.6733527423827544,-0.9378531073446329
43,10.206171788167453,9.463145726351204,11.475676885925214,10.808587237413146,1.2464500427708316,0.9743693239310277,0.009330788240045323,0.759246197428527,0.4495085262491199,-0.6949152542372882
44,0.8347419415894759,17.31349813713638,1.6989069251269038,7.774831166849228,0.36952029393863395,0.37121517149997096,0.7342234730279403,0.8490337894496214,1.0103714296576134,-0.903954802259887
45,0.8347419415894759,7.139336071701244,1.6989069251269038,7.774831166849228,0.36952029393863395,0.37121517149997096,0.1507083060871054,1.0611390899371114,0.7485076165164848,-1.0056497175141244
46,6.337062793447017,12.502404132068733,5.071186239261355,16.351985052899717,13.998078639425257,0.8006472874380728,0.027332684010554276,0.8847754560918464,0.516045723487574,-0.8135593220338984
47,19.27819190973088,16.826207435058656,2.7148673260521354,11.122113673506739,12.705285197620396,0.9797827191126018,0.9526222497728006,0.5781740160240275,0.8678372329898474,-0.6836158192090396
48,6.624996607363861,7.302182658083059,0.3794209979744129,9.89933666192753,0.19889496768189474,0.3711809509065169,0.5012736815472516,1.0260693118030941,1.0020078878995986,-1.0423728813559323
49,3.6721076843707494,11.604882791292837,1.2242213026027144,11.053176338781187,10.632958590229922,0.985466183137991,0.43133685717095205,0.677590318760829,0.6055994755050705,-0.6779661016949153
50,6.3550489095302645,19.144374288901908,1.1976664264457293,16.374413976027103,13.865065697175293,0.7360559168987983,0.5398374330745699,0.8703465292052301,0.8395017794369879,-0.8926553672316385
51,5.820619821486974,10.539460989031747,1.3137525923585314,11.512648133779233,12.705285197620396,0.5443022918059205,0.10182909890171066,1.018864063067888,0.6822311138285425,-0.9519774011299437
52,6.106836172793367,18.935177126253446,2.5524858197747284,10.612209438685365,12.739281466599142,0.5337039270854638,0.41768324763554376,1.0206601328570994,0.8660982878559698,-0.9915254237288137
53,0.7642079423922632,8.476898697848814,3.844286312219255,16.198899987385502,0.8267164542530043,0.8557253461504835,0.42567330131930753,0.8218645673987925,0.7138776075979706,-0.8079096045197741
54,6.520763149990415,7.3392178530948815,0.3898842818232864,16.25882583190138,0.8120429512777076,0.9814867136192366,0.42559367716808716,0.6900642678796906,0.6282857081938285,-0.6836158192090396
