pareto_id,tau_robot1,tau_robot2,tau_mag1,tau_mag2,tau_remag,w_robot1,w_mag1,n_replications,mean_inputs,mean_outputs,mean_throughput_ratio,mean_energy,mean_emission,sd_outputs,sd_energy,sd_emission,ci95_outputs_low,ci95_outputs_high,ci95_energy_low,ci95_energy_high,ci95_emission_low,ci95_emission_high,nondominated_after_reevaluation,score_equal,score_throughput_priority,score_sustainability_priority,score_energy_priority,score_emission_priority
17,0.884053285393376,9.767398564778569,1.2452142075775785,7.193885613973078,0.2949598749731414,0.3976962560212798,0.5867985714381407,100,76.02,70.1,0.9241272649661976,3769.715604428921,2721.9798302652325,6.991336630343863,372.6561039535256,294.3594171696546,68.7127671344368,71.48723286556319,3695.772548574145,3843.658660283698,2663.572535726808,2780.387124803657,True,0.6329127569805459,0.41344908568117017,0.7426445926302339,0.7117683508195043,0.7735208344409634
18,2.777037871333033,9.49085328078388,5.644019567695386,9.908017667052633,0.1988949676818947,0.3125570186462394,0.0456674995340155,100,75.84,62.64,0.8309214441089544,3796.12058072452,1586.0976452949635,3.063371088236361,187.5085557383175,138.9191293823626,62.03216071579598,63.24783928420402,3758.914815239632,3833.326346209408,1558.5330761540324,1613.6622144358946,True,0.5036916966508176,0.4579614392583842,0.5265568253470343,0.6397889659032847,0.41332468479078394
19,1.3847708553262856,11.257932364984075,1.4097627709486569,7.352692594863227,0.3695202939386339,0.3712151714999709,0.0631695786245716,100,75.72,63.44,0.8426699739130773,3791.699102125013,1610.988766873666,3.522854673486412,192.57647887679437,159.92547511502022,62.74098920391666,64.13901079608333,3753.487750740094,3829.910453509932,1579.2560830035357,1642.7214507437964,True,0.4971719629638405,0.4409616644858708,0.5252771122028255,0.63494724105782,0.41560698334783075
21,4.90572765574562,9.637037146263689,14.98568304949525,14.487972746800562,3.4930903809179608,0.8364075910465618,0.516777817113359,100,76.1,59.02,0.7801332505525836,3281.338852963202,2205.537370483368,3.8585599449127193,220.5097223299387,199.07957064060508,58.25437799488918,59.78562200511082,3237.5849400612483,3325.092765865156,2166.035664606952,2245.0390763597843,True,0.5912799562119211,0.5697372988805269,0.6020512848776184,0.5840777725855806,0.6200247971696562
22,0.647161599858439,12.745510289925974,3.9710929578890095,16.946562405632378,3.283577009694691,0.3531790109949033,0.0579672567424587,100,77.54,63.68,0.8268459318060689,3843.0466303315065,1625.1796142722987,3.110360659850146,190.15865682422609,160.8677300697205,63.06283696534196,64.29716303465804,3805.315027296832,3880.7782333661817,1593.2599665767923,1657.099261967805,True,0.5058419140907336,0.4422372547939085,0.5376442437391462,0.6509481506774505,0.424340336800842
23,6.710680728753456,8.476898697848814,4.859851771773252,18.959557090563735,0.1548866810775548,0.8219483715945136,0.9146899887866822,100,77.35,52.66,0.6862397719071031,2589.190457296538,2513.667523614518,2.551371190065246,162.49854328866516,104.0380684564812,52.15375260350816,53.16624739649183,2556.9472208776547,2621.4336937154217,2493.0241137111607,2534.310933517875,True,0.6205806127208249,0.6913667725404704,0.5851875328110022,0.4560918943505484,0.7142831712714559
24,7.703476949339289,10.42746613342395,4.942662623150701,3.643605744472819,1.394927355892582,0.7847552654815673,0.21540636693814,100,76.0,61.42,0.8120438309458771,3594.708896344791,1819.6121727988996,4.146752410689063,242.74889948984423,200.28071905751776,60.597194357300125,62.24280564269988,3546.5422482120084,3642.875544477573,1779.872133017472,1859.3522125803267,True,0.5334500158719931,0.49577553099558846,0.5522872583101957,0.6152849080699483,0.4892896085504428
25,2.777037871333033,7.374698754275373,3.861893670130489,10.298606323394424,0.1988949676818947,0.4134844113725895,0.4969310438960606,100,76.25,71.54,0.9387582393057248,3939.064593224585,2641.08169102523,6.709589097596504,343.5122696182832,281.6042405192515,70.20867195748913,72.87132804251088,3870.904306381804,4007.224880067367,2585.205300259728,2696.9580817907326,True,0.6261845813643718,0.38585389810287657,0.7463499229951196,0.743347364151718,0.7493524818385212
26,6.885240750958621,17.253962256476612,10.542984008460357,19.36520764694197,11.97502256669619,0.9214226739403364,0.8904832699030467,100,76.43,51.53,0.6789829710196195,2549.670001451901,2442.684123883964,2.3374638764561424,164.34152510892753,106.31795599649726,51.06619645527965,51.99380354472035,2517.0610774561087,2582.2789254476934,2421.588334830163,2463.779912937764,True,0.6143397447865377,0.7061089593463603,0.5684551375066266,0.4440357955142211,0.692874479499032
27,7.867203861967462,14.880853344926363,3.4068206465338173,10.804862081731311,3.242581905790511,0.8713522112935947,0.4302155503992776,100,76.07,56.76,0.751151803252798,3228.446515936532,1989.7308412683865,3.5021494121539853,220.52313903798304,188.27339950975465,56.06509757696879,57.45490242303121,3184.6899408686245,3272.203091004439,1952.373314185844,2027.0883683509285,True,0.5680685207156784,0.5927838527157057,0.5557108547156647,0.5590270823893386,0.5523946270419908
